Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
  10,   1,  20,  1.4792                                               
  10,   1,  21,  1.3729                                               
  10,   1,  22, 0.94488                                               
  10,   1,  23,  1.4766                                               
  10,   1,  24,  1.4731                                               
  11,   1,   1, 0.91440                                               
  11,   1,   2,  1.5019                                               
  11,   1,   3,  1.3286                                               
  11,   1,   4,  1.1659                                               
  11,   1,   5,  1.4132                                               
  11,   1,   6, 0.99472                                               
  11,   1,   7,  1.2780                                               
  11,   1,   8,  1.4650                                               
  11,   1,   9,  1.0975                                               
  11,   1,  10,  1.4409                                               
  11,   1,  11,  1.3532                                               
  11,   1,  12, 0.94028                                               
  11,   1,  13,  1.1403                                               
  11,   1,  14, 0.92362                                               
  11,   1,  15,  1.4315                                               
  11,   1,  16,  1.4020                                               
  11,   1,  17,  1.3770                                               
  11,   1,  18,  1.4290                                               
  11,   1,  19,  1.2717                                               
  11,   1,  20,  1.4256                                               
  11,   1,  21,  1.4544                                               
  11,   1,  22,  1.3241                                               
  11,   1,  23, 0.91575                                               
  11,   1,  24,  1.4245                                               
  12,   1,   1,  1.4889                                               
  12,   1,   2,  1.0279                                               
  12,   1,   3,  1.3206                                               
  12,   1,   4,  1.2048                                               
  12,   1,   5, 0.94627                                               
  12,   1,   6,  1.3983                                               
  12,   1,   7,  1.1341                                               
  12,   1,   8,  1.5519                                               
  12,   1,   9,  1.4720                                               
  12,   1,  10,  1.1783                                               
  12,   1,  11,  1.4229                                               
  12,   1,  12, 0.97162                                               
  12,   1,  13,  1.5138                                               
  12,   1,  14,  1.4487                                               
  12,   1,  15,  1.4603                                               
  12,   1,  16,  1.3141                                               
  12,   1,  17,  1.3683                                               
  12,   1,  18,  1.5029                                               
  12,   1,  19, 0.95441                                               
  12,   1,  20,  1.4792                                               
  12,   1,  21,  1.3729                                               
  12,   1,  22, 0.94488                                               
  12,   1,  23,  1.4766                                               
  12,   1,  24,  1.4731                                               
