Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   6,   1,  17, 0.16800    ,  0.0000                                  
   6,   1,  18, 0.20265    ,  0.0000                                  
   6,   1,  19, 0.97800E-01,  0.0000                                  
   6,   1,  20, 0.20040    ,  0.0000                                  
   6,   1,  21, 0.21960    ,  0.0000                                  
   6,   1,  22, 0.13275    ,  0.0000                                  
   6,   1,  23,  0.0000    ,  0.0000                                  
   6,   1,  24, 0.19965    ,  0.0000                                  
   7,   1,   1, 0.21762    ,  0.0000                                  
   7,   1,   2,  0.0000    ,  0.0000                                  
   7,   1,   3, 0.10540    ,  0.0000                                  
   7,   1,   4, 0.28210E-01,  0.0000                                  
   7,   1,   5,  0.0000    ,  0.0000                                  
   7,   1,   6,  0.0000    ,  0.0000                                  
   7,   1,   7,  0.0000    ,  0.0000                                  
   7,   1,   8,  0.0000    ,  0.0000                                  
   7,   1,   9, 0.20631    ,  0.0000                                  
   7,   1,  10, 0.10540E-01,  0.0000                                  
   7,   1,  11, 0.17360    ,  0.0000                                  
   7,   1,  12,  0.0000    ,  0.0000                                  
   7,   1,  13, 0.23421    ,  0.0000                                  
   7,   1,  14, 0.19081    ,  0.0000                                  
   7,   1,  15, 0.19856    ,  0.0000                                  
   7,   1,  16, 0.10106    ,  0.0000                                  
   7,   1,  17, 0.13717    ,  0.0000                                  
   7,   1,  18, 0.22692    ,  0.0000                                  
   7,   1,  19,  0.0000    ,  0.0000                                  
   7,   1,  20, 0.21111    ,  0.0000                                  
   7,   1,  21, 0.14027    ,  0.0000                                  
   7,   1,  22,  0.0000    ,  0.0000                                  
   7,   1,  23,  0.0000    ,  0.0000                                  
   7,   1,  24,  0.0000    ,  0.0000                                  
   8,   1,   1, 0.21762    ,  0.0000                                  
   8,   1,   2,  0.0000    ,  0.0000                                  
   8,   1,   3, 0.10540    ,  0.0000                                  
   8,   1,   4,  0.0000    ,  0.0000                                  
   8,   1,   5,  0.0000    ,  0.0000                                  
   8,   1,   6, 0.15717    ,  0.0000                                  
   8,   1,   7,  0.0000    ,  0.0000                                  
   8,   1,   8, 0.25962    ,  0.0000                                  
   8,   1,   9, 0.20631    ,  0.0000                                  
   8,   1,  10,  0.0000    ,  0.0000                                  
   8,   1,  11, 0.17360    ,  0.0000                                  
   8,   1,  12,  0.0000    ,  0.0000                                  
   8,   1,  13, 0.23421    ,  0.0000                                  
   8,   1,  14, 0.19081    ,  0.0000                                  
   8,   1,  15, 0.19856    ,  0.0000                                  
   8,   1,  16, 0.10106    ,  0.0000                                  
   8,   1,  17, 0.13717    ,  0.0000                                  
   8,   1,  18, 0.22692    ,  0.0000                                  
   8,   1,  19,  0.0000    ,  0.0000                                  
   8,   1,  20,  0.0000    ,  0.0000                                  
   8,   1,  21, 0.14027    ,  0.0000                                  
   8,   1,  22,  0.0000    ,  0.0000                                  
   8,   1,  23, 0.20940    ,  0.0000                                  
   8,   1,  24, 0.20708    ,  0.0000                                  
   9,   1,   1,  0.0000    ,  0.0000                                  
   9,   1,   2, 0.25125    ,  0.0000                                  
   9,   1,   3, 0.13575    ,  0.0000                                  
   9,   1,   4, 0.27300E-01,  0.0000                                  
   9,   1,   5, 0.19215    ,  0.0000                                  
   9,   1,   6,  0.0000    ,  0.0000                                  
   9,   1,   7, 0.10200    ,  0.0000                                  
   9,   1,   8, 0.22665    ,  0.0000                                  
   9,   1,   9,  0.0000    ,  0.0000                                  
   9,   1,  10, 0.21060    ,  0.0000                                  
   9,   1,  11, 0.15210    ,  0.0000                                  
   9,   1,  12,  0.0000    ,  0.0000                                  
   9,   1,  13, 0.10200E-01,  0.0000                                  
   9,   1,  14,  0.0000    ,  0.0000                                  
   9,   1,  15, 0.20430    ,  0.0000                                  
   9,   1,  16, 0.18465    ,  0.0000                                  
   9,   1,  17, 0.16800    ,  0.0000                                  
   9,   1,  18, 0.20265    ,  0.0000                                  
   9,   1,  19, 0.97800E-01,  0.0000                                  
   9,   1,  20, 0.20040    ,  0.0000                                  
   9,   1,  21, 0.21960    ,  0.0000                                  
   9,   1,  22, 0.13275    ,  0.0000                                  
   9,   1,  23,  0.0000    ,  0.0000                                  
   9,   1,  24, 0.19965    ,  0.0000                                  
  10,   1,   1, 0.21762    ,  0.0000                                  
  10,   1,   2,  0.0000    ,  0.0000                                  
  10,   1,   3, 0.10540    ,  0.0000                                  
  10,   1,   4, 0.28210E-01,  0.0000                                  
  10,   1,   5,  0.0000    ,  0.0000                                  
  10,   1,   6, 0.15717    ,  0.0000                                  
  10,   1,   7,  0.0000    ,  0.0000                                  
  10,   1,   8, 0.25962    ,  0.0000                                  
  10,   1,   9, 0.20631    ,  0.0000                                  
  10,   1,  10, 0.10540E-01,  0.0000                                  
  10,   1,  11, 0.17360    ,  0.0000                                  
  10,   1,  12,  0.0000    ,  0.0000                                  
  10,   1,  13, 0.23421    ,  0.0000                                  
  10,   1,  14, 0.19081    ,  0.0000                                  
  10,   1,  15, 0.19856    ,  0.0000                                  
  10,   1,  16, 0.10106    ,  0.0000                                  
  10,   1,  17, 0.13717    ,  0.0000                                  
  10,   1,  18, 0.22692    ,  0.0000                                  
  10,   1,  19,  0.0000    ,  0.0000                                  
  10,   1,  20, 0.21111    ,  0.0000                                  
  10,   1,  21, 0.14027    ,  0.0000                                  
  10,   1,  22,  0.0000    ,  0.0000                                  
  10,   1,  23, 0.20940    ,  0.0000                                  
  10,   1,  24,  0.0000    ,  0.0000                                  
  11,   1,   1,  0.0000    ,  0.0000                                  
  11,   1,   2, 0.25125    ,  0.0000                                  
  11,   1,   3, 0.13575    ,  0.0000                                  
  11,   1,   4, 0.27300E-01,  0.0000                                  
  11,   1,   5, 0.19215    ,  0.0000                                  
  11,   1,   6,  0.0000    ,  0.0000                                  
  11,   1,   7, 0.10200    ,  0.0000                                  
  11,   1,   8, 0.22665    ,  0.0000                                  
  11,   1,   9,  0.0000    ,  0.0000                                  
  11,   1,  10, 0.21060    ,  0.0000                                  
  11,   1,  11, 0.15210    ,  0.0000                                  
  11,   1,  12,  0.0000    ,  0.0000                                  
  11,   1,  13, 0.10200E-01,  0.0000                                  
  11,   1,  14,  0.0000    ,  0.0000                                  
  11,   1,  15,  0.0000    ,  0.0000                                  
  11,   1,  16,  0.0000    ,  0.0000                                  
  11,   1,  17,  0.0000    ,  0.0000                                  
  11,   1,  18,  0.0000    ,  0.0000                                  
  11,   1,  19,  0.0000    ,  0.0000                                  
  11,   1,  20,  0.0000    ,  0.0000                                  
  11,   1,  21,  0.0000    ,  0.0000                                  
