Varies per block?       ,    2,Unit    ,m3/s   ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
  10,   1,  21,  0.0000    ,  0.0000                                  
  10,   1,  22,  0.0000    ,  0.0000                                  
  10,   1,  23,  0.0000    ,  0.0000                                  
  10,   1,  24,  0.0000    ,  0.0000                                  
  11,   1,   1,  0.0000    ,  0.0000                                  
  11,   1,   2,  167.50    ,  0.0000                                  
  11,   1,   3,  24.500    ,  0.0000                                  
  11,   1,   4,  0.0000    ,  0.0000                                  
  11,   1,   5,  0.0000    ,  0.0000                                  
  11,   1,   6,  0.0000    ,  0.0000                                  
  11,   1,   7,  0.0000    ,  0.0000                                  
  11,   1,   8,  0.0000    ,  0.0000                                  
  11,   1,   9,  0.0000    ,  0.0000                                  
  11,   1,  10,  0.0000    ,  0.0000                                  
  11,   1,  11,  0.0000    ,  0.0000                                  
  11,   1,  12,  0.0000    ,  0.0000                                  
  11,   1,  13,  0.0000    ,  0.0000                                  
  11,   1,  14,  0.0000    ,  0.0000                                  
  11,   1,  15,  0.0000    ,  0.0000                                  
  11,   1,  16,  0.0000    ,  0.0000                                  
  11,   1,  17,  0.0000    ,  0.0000                                  
  11,   1,  18,  0.0000    ,  0.0000                                  
  11,   1,  19,  0.0000    ,  0.0000                                  
  11,   1,  20,  0.0000    ,  0.0000                                  
  11,   1,  21,  0.0000    ,  0.0000                                  
  11,   1,  22,  0.0000    ,  0.0000                                  
  11,   1,  23,  0.0000    ,  0.0000                                  
  11,   1,  24,  0.0000    ,  0.0000                                  
  12,   1,   1,  140.40    ,  0.0000                                  
  12,   1,   2,  0.0000    ,  0.0000                                  
  12,   1,   3,  0.0000    ,  0.0000                                  
  12,   1,   4,  0.0000    ,  0.0000                                  
  12,   1,   5,  0.0000    ,  0.0000                                  
  12,   1,   6,  0.0000    ,  0.0000                                  
  12,   1,   7,  0.0000    ,  0.0000                                  
  12,   1,   8,  167.50    ,  0.0000                                  
  12,   1,   9,  12.740    ,  0.0000                                  
  12,   1,  10,  0.0000    ,  0.0000                                  
  12,   1,  11,  0.0000    ,  0.0000                                  
  12,   1,  12,  0.0000    ,  0.0000                                  
  12,   1,  13,  0.0000    ,  0.0000                                  
  12,   1,  14,  0.0000    ,  0.0000                                  
  12,   1,  15,  0.0000    ,  0.0000                                  
  12,   1,  16,  0.0000    ,  0.0000                                  
  12,   1,  17,  0.0000    ,  0.0000                                  
  12,   1,  18,  0.0000    ,  0.0000                                  
  12,   1,  19,  0.0000    ,  0.0000                                  
  12,   1,  20,  0.0000    ,  0.0000                                  
  12,   1,  21,  0.0000    ,  0.0000                                  
  12,   1,  22,  0.0000    ,  0.0000                                  
  12,   1,  23,  0.0000    ,  0.0000                                  
  12,   1,  24,  0.0000    ,  0.0000                                  
