Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   7,   1,  16,  6.2000    ,  3.3153                                  
   7,   1,  17,  6.2000    ,  3.8353                                  
   7,   1,  18,  6.2000    ,  5.1276                                  
   7,   1,  19,  6.1082    ,  0.0000                                  
   7,   1,  20,  6.2000    ,  4.9000                                  
   7,   1,  21,  6.2000    ,  3.8800                                  
   7,   1,  22,  6.0472    ,  0.0000                                  
   7,   1,  23,  6.2000    ,  4.8754                                  
   7,   1,  24,  6.2000    ,  4.8420                                  
   8,   1,   1,  6.2000    ,  4.9937                                  
   8,   1,   2,  6.2000    , 0.56767                                  
   8,   1,   3,  6.2000    ,  3.3778                                  
   8,   1,   4,  6.2000    ,  2.2662                                  
   8,   1,   5,  6.0562    ,  0.0000                                  
   8,   1,   6,  6.2000    ,  4.1232                                  
   8,   1,   7,  6.2000    ,  1.5877                                  
   8,   1,   8,  6.2000    ,  5.5800                                  
   8,   1,   9,  6.2000    ,  4.8308                                  
   8,   1,  10,  6.2000    ,  2.0118                                  
   8,   1,  11,  6.2000    ,  4.3598                                  
   8,   1,  12,  6.2000    , 0.27528E-01                              
   8,   1,  13,  6.2000    ,  5.2326                                  
   8,   1,  14,  6.2000    ,  4.6076                                  
   8,   1,  15,  6.2000    ,  4.7192                                  
   8,   1,  16,  6.2000    ,  3.3153                                  
   8,   1,  17,  6.2000    ,  3.8353                                  
   8,   1,  18,  6.2000    ,  5.1276                                  
   8,   1,  19,  6.1082    ,  0.0000                                  
   8,   1,  20,  6.2000    ,  4.9000                                  
   8,   1,  21,  6.2000    ,  3.8800                                  
   8,   1,  22,  6.0472    ,  0.0000                                  
   8,   1,  23,  6.2000    ,  4.8754                                  
   8,   1,  24,  6.2000    ,  4.8420                                  
   9,   1,   1,  5.8522    ,  0.0000                                  
   9,   1,   2,  6.0000    ,  5.4000                                  
   9,   1,   3,  6.0000    ,  3.7548                                  
   9,   1,   4,  6.0000    ,  2.1931                                  
   9,   1,   5,  6.0000    ,  4.5670                                  
   9,   1,   6,  6.0000    , 0.54936                                  
   9,   1,   7,  6.0000    ,  3.2688                                  
   9,   1,   8,  6.0000    ,  5.0638                                  
   9,   1,   9,  6.0000    ,  1.5365                                  
   9,   1,  10,  6.0000    ,  4.8326                                  
   9,   1,  11,  6.0000    ,  3.9902                                  
   9,   1,  12,  6.0000    , 0.26640E-01                              
   9,   1,  13,  6.0000    ,  1.9469                                  
   9,   1,  14,  5.9112    ,  0.0000                                  
   9,   1,  15,  6.0000    ,  4.7419                                  
   9,   1,  16,  6.0000    ,  4.4590                                  
   9,   1,  17,  6.0000    ,  4.2192                                  
   9,   1,  18,  6.0000    ,  4.7182                                  
   9,   1,  19,  6.0000    ,  3.2083                                  
   9,   1,  20,  6.0000    ,  4.6858                                  
   9,   1,  21,  6.0000    ,  4.9622                                  
   9,   1,  22,  6.0000    ,  3.7116                                  
   9,   1,  23,  5.8608    ,  0.0000                                  
   9,   1,  24,  6.0000    ,  4.6750                                  
  10,   1,   1,  6.2000    ,  4.9937                                  
  10,   1,   2,  6.2000    , 0.56767                                  
  10,   1,   3,  6.2000    ,  3.3778                                  
  10,   1,   4,  6.2000    ,  2.2662                                  
  10,   1,   5,  6.0562    ,  0.0000                                  
  10,   1,   6,  6.2000    ,  4.1232                                  
  10,   1,   7,  6.2000    ,  1.5877                                  
  10,   1,   8,  6.2000    ,  5.5800                                  
  10,   1,   9,  6.2000    ,  4.8308                                  
  10,   1,  10,  6.2000    ,  2.0118                                  
  10,   1,  11,  6.2000    ,  4.3598                                  
  10,   1,  12,  6.2000    , 0.27528E-01                              
  10,   1,  13,  6.2000    ,  5.2326                                  
  10,   1,  14,  6.2000    ,  4.6076                                  
  10,   1,  15,  6.2000    ,  4.7192                                  
  10,   1,  16,  6.2000    ,  3.3153                                  
  10,   1,  17,  6.2000    ,  3.8353                                  
  10,   1,  18,  6.2000    ,  5.1276                                  
  10,   1,  19,  6.1082    ,  0.0000                                  
  10,   1,  20,  6.2000    ,  4.9000                                  
  10,   1,  21,  6.2000    ,  3.8800                                  
  10,   1,  22,  6.0472    ,  0.0000                                  
  10,   1,  23,  6.2000    ,  4.8754                                  
  10,   1,  24,  6.2000    ,  4.8420                                  
  11,   1,   1,  5.8522    ,  0.0000                                  
  11,   1,   2,  6.0000    ,  5.4000                                  
  11,   1,   3,  6.0000    ,  3.7548                                  
  11,   1,   4,  6.0000    ,  2.1931                                  
  11,   1,   5,  6.0000    ,  4.5670                                  
  11,   1,   6,  6.0000    , 0.54936                                  
  11,   1,   7,  6.0000    ,  3.2688                                  
  11,   1,   8,  6.0000    ,  5.0638                                  
  11,   1,   9,  6.0000    ,  1.5365                                  
  11,   1,  10,  6.0000    ,  4.8326                                  
  11,   1,  11,  6.0000    ,  3.9902                                  
  11,   1,  12,  6.0000    , 0.26640E-01                              
  11,   1,  13,  6.0000    ,  1.9469                                  
  11,   1,  14,  5.9112    ,  0.0000                                  
  11,   1,  15,  6.0000    ,  4.7419                                  
  11,   1,  16,  6.0000    ,  4.4590                                  
  11,   1,  17,  6.0000    ,  4.2192                                  
  11,   1,  18,  6.0000    ,  4.7182                                  
  11,   1,  19,  6.0000    ,  3.2083                                  
  11,   1,  20,  6.0000    ,  4.6858                                  
  11,   1,  21,  6.0000    ,  4.9622                                  
  11,   1,  22,  6.0000    ,  3.7116                                  
  11,   1,  23,  5.8608    ,  0.0000                                  
  11,   1,  24,  6.0000    ,  4.6750                                  
  12,   1,   1,  6.2000    ,  4.9937                                  
  12,   1,   2,  6.2000    , 0.56767                                  
  12,   1,   3,  6.2000    ,  3.3778                                  
  12,   1,   4,  6.2000    ,  2.2662                                  
  12,   1,   5,  6.0562    ,  0.0000                                  
  12,   1,   6,  6.2000    ,  4.1232                                  
  12,   1,   7,  6.2000    ,  1.5877                                  
  12,   1,   8,  6.2000    ,  5.5800                                  
  12,   1,   9,  6.2000    ,  4.8308                                  
  12,   1,  10,  6.2000    ,  2.0118                                  
  12,   1,  11,  6.2000    ,  4.3598                                  
  12,   1,  12,  6.2000    , 0.27528E-01                              
  12,   1,  13,  6.2000    ,  5.2326                                  
  12,   1,  14,  6.2000    ,  4.6076                                  
  12,   1,  15,  6.2000    ,  4.7192                                  
  12,   1,  16,  6.2000    ,  3.3153                                  
  12,   1,  17,  6.2000    ,  3.8353                                  
  12,   1,  18,  6.2000    ,  5.1276                                  
  12,   1,  19,  6.1082    ,  0.0000                                  
  12,   1,  20,  6.2000    ,  4.9000                                  
  12,   1,  21,  6.2000    ,  3.8800                                  
  12,   1,  22,  6.0472    ,  0.0000                                  
  12,   1,  23,  6.2000    ,  4.8754                                  
  12,   1,  24,  6.2000    ,  4.8420                                  
